Reported Date,ISO3 of Origin,Cumulative arrivals,Cumulative arrivals male,Cumulative arrivals female,Cumulative arrivals AM,Cumulative arrivals UAM,ISO3 of Arrival,Source,Start_date_for_cumulative
31/Jan/17,CIV,839,521,103,1,214,ITA,Italian authorities,1/Jan/17
31/Jan/17,GIN,796,640,22,0,134,ITA,Italian authorities,1/Jan/17
31/Jan/17,NGA,483,335,121,0,27,ITA,Italian authorities,1/Jan/17
31/Jan/17,SEN,431,367,3,0,61,ITA,Italian authorities,1/Jan/17
31/Jan/17,GMB,359,206,11,1,141,ITA,Italian authorities,1/Jan/17
31/Jan/17,MLI,282,232,8,0,42,ITA,Italian authorities,1/Jan/17
31/Jan/17,MAR,257,222,12,0,23,ITA,Italian authorities,1/Jan/17
31/Jan/17,BGD,224,168,0,0,56,ITA,Italian authorities,1/Jan/17
31/Jan/17,IRQ,131,71,17,14,29,ITA,Italian authorities,1/Jan/17
31/Jan/17,CMR,117,82,22,0,13,ITA,Italian authorities,1/Jan/17
31/Jan/17,OOO,548,454,30,6,58,ITA,Italian authorities,1/Jan/17
28/Feb/17,GIN,2092,1641,72,20,359,ITA,Italian authorities,1/Jan/17
28/Feb/17,NGA,1687,1033,527,6,121,ITA,Italian authorities,1/Jan/17
28/Feb/17,CIV,1645,1087,213,25,320,ITA,Italian authorities,1/Jan/17
28/Feb/17,BGD,1303,1110,2,15,176,ITA,Italian authorities,1/Jan/17
28/Feb/17,GMB,1244,891,24,17,312,ITA,Italian authorities,1/Jan/17
28/Feb/17,SEN,1215,1023,16,8,168,ITA,Italian authorities,1/Jan/17
28/Feb/17,MAR,977,865,59,10,43,ITA,Italian authorities,1/Jan/17
28/Feb/17,MLI,645,547,13,11,74,ITA,Italian authorities,1/Jan/17
28/Feb/17,IRQ,275,133,46,14,82,ITA,Italian authorities,1/Jan/17
28/Feb/17,PAK,271,259,3,2,7,ITA,Italian authorities,1/Jan/17
28/Feb/17,OOO,2085,1635,205,32,213,ITA,Italian authorities,1/Jan/17
31/Mar/17,GIN,3168,2469,98,22,579,ITA,Italian authorities,1/Jan/17
31/Mar/17,NGA,3159,2028,915,13,203,ITA,Italian authorities,1/Jan/17
31/Mar/17,BGD,2831,2325,2,15,489,ITA,Italian authorities,1/Jan/17
31/Mar/17,CIV,2527,1694,323,34,476,ITA,Italian authorities,1/Jan/17
31/Mar/17,GMB,2232,1617,33,17,565,ITA,Italian authorities,1/Jan/17
31/Mar/17,SEN,1915,1614,24,8,269,ITA,Italian authorities,1/Jan/17
31/Mar/17,MAR,1739,1530,116,11,82,ITA,Italian authorities,1/Jan/17
31/Mar/17,MLI,1141,953,31,24,133,ITA,Italian authorities,1/Jan/17
31/Mar/17,SOM,634,347,127,3,157,ITA,Italian authorities,1/Jan/17
31/Mar/17,ERI,577,406,100,2,69,ITA,Italian authorities,1/Jan/17
31/Mar/17,OOO,4369,3423,403,74,469,ITA,Italian authorities,1/Jan/17
30/Apr/17,NGA,5253,3337,1582,24,310,ITA,Italian authorities,1/Jan/17
30/Apr/17,BGD,4645,3813,11,26,795,ITA,Italian authorities,1/Jan/17
30/Apr/17,GIN,4184,3248,126,32,778,ITA,Italian authorities,1/Jan/17
30/Apr/17,CIV,3920,2668,499,63,690,ITA,Italian authorities,1/Jan/17
30/Apr/17,GMB,2850,2101,64,19,666,ITA,Italian authorities,1/Jan/17
30/Apr/17,SEN,2555,2182,35,9,329,ITA,Italian authorities,1/Jan/17
30/Apr/17,MAR,2425,2142,154,23,106,ITA,Italian authorities,1/Jan/17
30/Apr/17,MLI,1879,1560,47,25,247,ITA,Italian authorities,1/Jan/17
30/Apr/17,ERI,1044,702,177,2,163,ITA,Italian authorities,1/Jan/17
30/Apr/17,PAK,1026,942,20,2,62,ITA,Italian authorities,1/Jan/17
30/Apr/17,OOO,7454,5361,855,194,1044,ITA,Italian authorities,1/Jan/17
31/May/17,NGA,9286,5855,2800,32,599,ITA,Italian authorities,1/Jan/17
31/May/17,BGD,7106,5881,25,30,1170,ITA,Italian authorities,1/Jan/17
31/May/17,GIN,5960,4520,181,38,1221,ITA,Italian authorities,1/Jan/17
31/May/17,CIV,5657,3865,731,81,980,ITA,Italian authorities,1/Jan/17
31/May/17,GMB,4011,2931,81,19,980,ITA,Italian authorities,1/Jan/17
31/May/17,SEN,3935,3389,46,9,491,ITA,Italian authorities,1/Jan/17
31/May/17,MAR,3327,2890,227,42,168,ITA,Italian authorities,1/Jan/17
31/May/17,MLI,3150,2590,102,27,431,ITA,Italian authorities,1/Jan/17
31/May/17,ERI,2344,1518,434,54,338,ITA,Italian authorities,1/Jan/17
